City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hobart,AU,-42.8794,147.3294,49.12,89,75,5.99,broken clouds
79,Kapaa,US,22.0752,-159.319,81.12,68,58,4.0,broken clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,38,4.14,scattered clouds
81,Phan Thiet,VN,10.9333,108.1,77.95,91,100,8.5,overcast clouds
82,Dawei,MM,14.0833,98.2,76.17,95,100,3.47,overcast clouds
83,Jvari,GE,42.7169,42.052,53.85,98,100,2.66,overcast clouds
84,Matagami,CA,49.7502,-77.6328,49.96,32,2,10.58,clear sky
85,Sulangan,PH,11.1373,123.7228,83.34,73,2,4.83,clear sky
86,Provideniya,RU,64.3833,-173.3,35.71,69,90,15.66,overcast clouds
87,Omboue,GA,-1.5746,9.2618,77.02,91,100,6.91,overcast clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,76,100,7.34,overcast clouds
89,Marawi,PH,7.9986,124.2928,67.64,93,63,0.72,broken clouds
90,Wamba,NG,8.9333,8.6,75.42,83,76,1.95,broken clouds
91,Dohar,BD,23.5883,90.1469,87.78,70,100,9.6,overcast clouds
92,Northam,GB,51.0333,-4.2167,49.01,88,83,14.92,broken clouds
93,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,87,75,2.75,broken clouds
94,Tiksi,RU,71.6872,128.8694,32.4,77,60,9.95,broken clouds
95,Joutseno,FI,61.118,28.5076,48.76,98,100,13.18,light rain
96,Mogocha,RU,53.7333,119.7667,35.53,91,100,7.09,light rain
97,Ketchikan,US,55.3422,-131.6461,52.27,82,90,4.61,light rain
98,Ribeira Grande,PT,38.5167,-28.7,60.82,63,97,4.56,overcast clouds
99,Cidreira,BR,-30.1811,-50.2056,58.1,69,42,27.04,scattered clouds
100,Saskylakh,RU,71.9167,114.0833,36.82,94,100,15.21,overcast clouds
101,Chokurdakh,RU,70.6333,147.9167,26.76,95,96,3.29,overcast clouds
102,Kavieng,PG,-2.5744,150.7967,81.14,81,100,9.86,overcast clouds
103,Bolshoye Selo,RU,57.7177,38.9334,51.96,92,99,10.04,overcast clouds
104,Tutoia,BR,-2.7619,-42.2744,80.2,79,59,6.35,broken clouds
105,Ancud,CL,-41.8697,-73.8203,58.53,92,83,11.21,broken clouds
106,Bluff,NZ,-46.6,168.3333,49.8,64,91,8.14,overcast clouds
107,Lavrentiya,RU,65.5833,-171.0,32.79,96,93,4.79,overcast clouds
108,Hasaki,JP,35.7333,140.8333,64.8,79,91,3.2,overcast clouds
109,Airai,TL,-8.9266,125.4092,55.62,71,51,2.42,broken clouds
110,Buchanan,LR,5.8808,-10.0467,80.82,81,31,4.97,scattered clouds
111,Jamestown,US,42.097,-79.2353,78.3,93,94,10.0,overcast clouds
112,Albany,US,42.6001,-73.9662,70.41,79,97,8.34,overcast clouds
113,Husavik,IS,66.0449,-17.3389,36.27,97,100,8.1,overcast clouds
114,Lorengau,PG,-2.0226,147.2712,81.86,79,51,6.08,broken clouds
115,Fairbanks,US,64.8378,-147.7164,53.04,48,82,0.72,broken clouds
116,Belyy Yar,RU,53.6039,91.3903,57.09,80,40,12.12,light rain
117,Aklavik,CA,68.2191,-135.0107,40.64,72,89,22.37,overcast clouds
118,Ponta Do Sol,PT,32.6667,-17.1,65.03,71,95,9.93,overcast clouds
119,Mahebourg,MU,-20.4081,57.7,69.26,79,76,12.55,light rain
120,Karlstad,SE,59.3793,13.5036,48.76,95,90,10.42,overcast clouds
121,Belawan,ID,3.7755,98.6832,77.29,91,96,4.23,overcast clouds
122,San Angelo,US,31.4638,-100.437,83.32,54,100,13.49,overcast clouds
123,Meulaboh,ID,4.1363,96.1285,76.98,88,99,4.94,overcast clouds
124,Kalush,UA,49.0119,24.3731,51.01,99,100,5.3,overcast clouds
125,Ghogha,IN,21.6833,72.2833,85.41,65,19,10.29,few clouds
126,Honiara,SB,-9.4333,159.95,76.82,90,100,8.03,overcast clouds
127,Lebu,CL,-37.6167,-73.65,53.15,78,100,2.26,overcast clouds
128,Fortuna,US,40.5982,-124.1573,78.19,59,1,1.99,clear sky
129,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,13.98,light snow
130,Diriomo,NI,11.8761,-86.0518,86.27,49,100,12.41,overcast clouds
131,Lebowakgomo,ZA,-24.2,29.5,48.07,85,11,4.68,few clouds
132,Pevek,RU,69.7008,170.3133,30.67,81,13,5.44,few clouds
133,Faanui,PF,-16.4833,-151.75,81.5,75,84,14.09,light rain
134,Bengkulu,ID,-3.8004,102.2655,75.56,89,94,3.69,overcast clouds
135,Myitkyina,MM,25.3833,97.4,73.98,97,30,2.1,scattered clouds
136,Inirida,CO,3.8653,-67.9239,78.08,94,100,2.24,moderate rain
137,Barcelos,PT,41.5388,-8.6151,57.85,91,94,6.67,overcast clouds
138,Kargat,RU,55.1956,80.2811,59.4,89,100,6.46,overcast clouds
139,Lana,IT,46.6124,11.1559,57.42,77,100,2.08,overcast clouds
140,Touros,BR,-5.1989,-35.4608,78.1,82,3,13.76,clear sky
141,Corvallis,US,44.5646,-123.262,63.55,75,100,1.99,overcast clouds
142,Olafsvik,IS,64.8945,-23.7142,40.87,76,42,14.85,scattered clouds
143,Bonfim,BR,3.0833,-59.95,83.1,73,68,6.98,broken clouds
144,Qaanaaq,GL,77.484,-69.3632,28.47,79,3,4.32,clear sky
145,Saint-Georges,GD,12.0564,-61.7485,80.19,78,59,15.39,broken clouds
146,Slave Lake,CA,55.2834,-114.769,68.4,40,76,3.56,broken clouds
147,Komsomolskiy,UZ,40.4272,71.7189,72.32,46,40,11.5,scattered clouds
148,Atar,MR,20.5169,-13.0499,91.26,19,2,0.34,clear sky
149,Kodiak,US,57.79,-152.4072,51.89,57,0,4.38,clear sky
150,Zhigansk,RU,66.7697,123.3711,41.99,45,5,8.23,clear sky
151,Saint-Philippe,RE,-21.3585,55.7679,71.15,79,94,13.76,light rain
152,Lere,NG,10.387,8.5726,72.46,82,97,3.49,overcast clouds
153,Beringovskiy,RU,63.05,179.3167,31.91,98,100,10.04,light snow
154,Ust-Kulom,RU,61.6864,53.6902,52.63,60,89,3.62,overcast clouds
155,Seymchan,RU,62.8833,152.4333,49.62,52,21,1.86,few clouds
156,Toul,FR,48.6667,5.9167,50.09,81,0,8.05,clear sky
157,San Patricio,US,28.017,-97.5169,86.09,67,96,10.31,overcast clouds
158,Khatanga,RU,71.9667,102.5,35.67,92,100,7.92,overcast clouds
159,Currais Novos,BR,-6.2608,-36.5178,74.46,74,36,13.58,scattered clouds
160,Serenje,ZM,-13.2325,30.2352,49.48,80,1,5.57,clear sky
161,Ladario,BR,-19.0047,-57.6017,66.49,48,0,6.91,clear sky
162,Itambe,BR,-15.245,-40.6244,71.51,52,23,1.05,few clouds
163,Bad Wildungen,DE,51.1196,9.1248,48.88,94,34,5.14,scattered clouds
164,Mount Gambier,AU,-37.8333,140.7667,59.0,56,100,12.55,overcast clouds
165,Andenes,NO,69.3143,16.1194,40.98,65,5,17.27,clear sky
166,Kanniyakumari,IN,8.0833,77.5667,81.09,83,100,16.91,overcast clouds
167,Cabra,ES,37.4725,-4.4421,62.65,47,49,4.99,scattered clouds
168,Tautira,PF,-17.7333,-149.15,84.22,77,63,8.23,broken clouds
169,Silvania,BR,-16.6589,-48.6081,75.29,54,96,3.44,overcast clouds
170,Kununurra,AU,-15.7667,128.7333,66.2,100,20,1.14,few clouds
171,Strelka,RU,58.0728,93.0344,54.77,99,100,7.36,moderate rain
172,Namatanai,PG,-3.6667,152.4333,78.42,88,100,1.1,overcast clouds
173,Salalah,OM,17.0151,54.0924,80.71,79,18,5.57,few clouds
174,Mahon,ES,39.8885,4.2658,57.76,94,0,12.66,clear sky
